Quartal;Net income;Depreciation and amortization;Share-based compensation expense;Deferred income tax expense;Other;Loss on disposition of property, plant and equipment;Accounts receivable, net;Inventories;Other current assets;Vendor non-trade receivables;Other current and non-current assets;Accounts payable;Deferred revenue;Other current and non-current liabilities;Cash generated by operating activities;Purchases of marketable securities;Proceeds from maturities of marketable securities;Purchases of other long-term investments;Proceeds from non-marketable securities;Proceeds from Sales of Marketable Securities;Payments made in connection with business acquisitions, net;Payments for acquisition of property, plant and equipment;Payments for acquisition of intangible assets;Other;Cash used in investing activities;Proceeds from issuance of common stock;Excess tax benefits from equity awards;Taxes paid related to net share settlement of equity awards;Dividends and dividend equivalents paid;Repurchase of common stock;Proceeds from issuance of term debt, net;Repayments of term debt;Change in commercial paper, net;Cash used in financing activities;Increase/(decrease) in cash and cash equivalents
Q2 '11;5.987;434;287;740;;;229;-45;;-450;-1.328;-720;64;1.021;6.219;-22.685;6.932;;;14.852;0;-624;-32;35;-1.522;286;286;-25;;;;;;547;5.244
Q3 '11;7.308;481;284;669;;;-304;41;;-72;335;854;578;934;11.108;-32.873;6.185;;;12.596;0;-777;-185;22;-15.032;83;175;-221;;;;;;37;-3.887
Q4 '11;6.623;543;298;636;;;735;113;;-979;160;35;378;1.887;10.429;-27.184;4.041;;;15.115;-244;-1.645;-2.926;-293;-13.136;254;218;-41;0;0;0;;;431;-2.276
Q1 '12;13.064;721;420;1.456;;;-3.561;-460;;-1.206;-962;4.314;1.296;2.472;17.554;-40.175;3.038;;;21.472;0;-1.321;-108;-34;-17.128;91;333;-355;0;0;;;;69;495
Q2 '12;11.622;740;424;1.459;;;1.898;134;;827;-548;-1.505;620;-1.694;13.977;-44.847;4.664;;;27.580;-350;-1.457;-52;-14;-14.476;286;303;-279;0;0;;;;310;-189
Q3 '12;8.824;835;448;1.151;;;-615;-20;;86;-1.728;-359;659;908;10.189;-36.069;2.642;;;24.088;0;-2.056;-907;-8;-12.310;56;400;-511;0;0;0;;;-55;-2.176
Q4 '12;8.223;981;448;339;;;-3.273;331;;-1.121;76;2.017;249;866;9.136;-30.141;2.691;;;26.630;0;-3.461;-40;8;-4.313;232;315;-81;-2.488;0;0;;0;-2.022;2.801
Q1 '13;13.078;1.588;545;1.179;;;-668;-664;;-2.174;413;6.145;1.611;2.373;23.426;-37.192;3.460;;;23.002;-284;-2.317;-138;-52;-13.521;76;404;-534;-2.493;-1.950;;;;-4.497;5.408
Q2 '13;9.547;1.692;575;778;;;4.514;210;;3.684;856;-10.567;-70;1.285;12.504;-43.971;5.783;;;26.186;-15;-2.008;-291;-41;-14.357;199;98;-54;-2.491;0;;;;-2.248;-4.101
Q3 '13;6.900;1.694;578;567;;;-1.755;-452;;1.638;-785;-318;-137;-102;7.828;-41.518;4.720;;;32.546;-144;-1.885;-131;-95;-6.507;60;142;-413;-2.811;-16.000;16.896;;0;-2.126;-805
Q4 '13;7.512;1.783;555;-1.383;;;-4.263;-67;;-2.925;596;7.080;55;965;9.908;-25.808;6.354;;;22.396;-53;-1.955;-351;28;611;195;57;-81;-2.769;-4.910;0;;0;-7.508;3.011
Q1 '14;13.072;2.144;681;1.253;;;-1.098;-358;;-3.459;-319;8.191;1.368;1.195;22.670;-48.397;5.556;;;30.302;-525;-1.985;-59;5;-15.103;134;280;-365;-2.769;-5.029;0;;0;-7.749;-182
Q2 '14;10.223;1.887;696;806;;;4.499;293;;4.878;333;-10.566;46;443;13.538;-41.963;5.313;;;49.939;-34;-1.382;-104;-28;11.741;207;83;-65;-2.661;-17.971;0;;0;-20.407;4.872
Q3 '14;7.748;1.946;724;1.095;;;-1.087;235;;67;917;-156;-20;-1.214;10.255;-70.302;4.242;;;46.586;-339;-2.378;-53;30;-22.214;94;199;-409;-2.867;-5.000;11.960;;2.010;5.987;-5.972
Q4 '14;8.467;1.969;762;-807;;;-6.546;-246;;-3.706;-764;8.469;66;5.586;13.250;-56.466;3.699;-10;;62.474;-2.867;-3.826;-26;19;2.997;295;177;-319;-2.829;-17.000;0;0;4.296;-15.380;867
Q1 '15;18.024;2.575;888;2.197;;;751;-172;;-3.508;-1.648;9.003;945;4.667;33.722;-44.915;2.807;;;24.166;-23;-3.217;-48;65;-21.165;80;264;-512;-2.801;-5.030;3.485;;-2.409;-6.923;5.634
Q2 '15;13.569;2.479;927;-318;;;5.804;-113;;6.008;4.096;-14.431;48;1.012;19.081;-47.608;3.064;;;24.758;-92;-2.369;-107;23;-22.331;229;93;-96;-2.743;-6.970;7.847;;-99;-1.739;-4.989
Q3 '15;10.677;3.084;856;941;;;535;354;;-2.278;-162;2.165;47;-1.231;14.988;-45.001;4.045;0;;31.711;-115;-2.043;-46;46;-11.403;15;327;-724;-3.053;-10.000;9.980;0;700;-2.755;830
Q4 '15;11.124;3.119;915;-1.438;385;;-6.673;-307;;-3.957;-2.569;8.264;2;4.610;13.475;-28.878;4.622;0;;26.812;-113;-3.618;-40;-160;-1.375;219;65;-167;-2.964;-13.253;5.802;0;3.999;-6.299;5.801
Q1 '16;18.361;2.954;1.078;1.592;110;;3.896;-102;;1.826;-1.058;-852;-29;-313;27.463;-47.836;3.514;-126;;28.262;-86;-3.612;-394;-172;-20.450;1;224;-597;-2.969;-6.863;;;-1.240;-11.444;-4.431
Q2 '16;10.516;2.477;1.048;1.500;198;;642;170;;4.073;1.244;-8.536;248;-1.979;11.601;-38.406;5.634;0;;21.789;-54;-2.336;-263;-24;-13.660;246;40;-154;-2.902;-6.667;15.584;;737;6.884;4.825
Q3 '16;7.796;2.526;1.054;2.099;-308;;597;450;;267;957;-234;-1.367;-3.203;10.634;-25.826;5.767;-1.250;;19.875;-6;-2.809;-96;-125;-4.470;0;127;-610;-3.187;-10.166;2.400;-2.500;4.495;-9.441;-3.277
Q4 '16;9.014;2.548;1.030;-253;486;;-4.608;-301;;-6.217;-88;11.739;-406;3.589;16.533;-30.360;6.343;-12;0;20.610;-151;-3.977;753;-603;-7.397;248;-391;-209;-3.092;-6.026;6.970;0;-4.389;-6.889;2.247
Q1 '17;17.891;2.987;1.256;1.452;-274;;1.697;-580;;-375;-1.446;2.460;42;2.124;27.234;-54.272;6.525;0;;32.166;-17;-3.334;-86;-104;-19.122;;;-629;-3.130;-10.851;0;;2.385;-12.225;-4.113
Q2 '17;11.029;2.332;1.217;1.370;65;;2.486;-198;;4.887;550;-9.322;-263;-1.583;12.570;-45.549;5.904;0;;28.288;-50;-2.975;86;94;-14.202;273;;-159;-3.004;-7.161;10.975;0;-506;418;-1.214
Q3 '17;8.717;2.354;1.193;1.942;67;;-802;-236;;-1.200;-2.333;1.650;-197;-2.483;8.672;-23.960;6.918;-213;126;16.293;-181;-2.277;;114;-3.180;1;;-858;-3.365;-7.093;10.750;-3.500;1.987;-2.078;3.414
Q4 '17;10.714;2.484;1.174;1.202;-24;;-5.474;-1.709;;-7.566;-2.089;14.830;-208;1.788;15.122;-35.705;12.428;-182;-126;17.817;-81;-3.865;-344;116;-9.942;281;627;-228;-3.270;-7.795;6.937;0;-14;-3.462;1.718
Q1 '18;20.065;2.745;1.296;-33.737;-11;;-5.570;434;;-9.660;-197;14.588;791;37.549;28.293;-41.272;14.048;-94;;16.801;-173;-2.810;-154;64;-13.590;;;-1.038;-3.339;-10.095;6.969;;2;-7.501;7.202
Q2 '18;13.822;2.739;1.348;-498;-140;;9.093;-3.241;;19.375;-856;-27.808;-313;1.609;15.130;-7.177;17.836;94;;22.141;-132;-4.195;154;-11;28.710;327;;-152;-3.190;-22.756;0;-500;-1;-26.272;17.568
Q3 '18;11.519;2.665;1.351;1.126;-259;;233;1.693;;-4.179;988;2.081;-581;-2.149;14.488;-7.684;14.406;-1.788;310;2.672;-126;-3.267;;-576;3.947;1;;-1.077;-3.653;-20.783;0;-6.000;-11;-31.523;-13.088
